,Unnamed: 0,underlying,type,expiration,quotedate,strike,bid,ask,volume,bs,garch,gp
161,161,SPXW,put,2019-10-16,2019-10-02,2690.0,5.2,5.5,4,0.1924949411705334,0.014119389124245589,0.2997136645812997
162,162,SPXW,put,2019-10-16,2019-10-02,2695.0,5.5,5.8,196,0.2334823279438396,0.9353885151286578,0.4024574263551905
163,163,SPXW,put,2019-10-16,2019-10-02,2700.0,5.9,6.2,53,0.28213353550899,0.6671706129239949,0.5841933201091506
164,164,SPXW,put,2019-10-16,2019-10-02,2705.0,6.2,6.5,35,0.3396543926788666,0.8043506735639709,0.5753586031930701
165,165,SPXW,put,2019-10-16,2019-10-02,2710.0,6.6,6.9,21,0.4073966980270924,0.3190142355030427,0.6275593034290639
166,166,SPXW,put,2019-10-16,2019-10-02,2715.0,7.0,7.4,25,0.486868335609266,0.6707324706176729,0.8082215705878589
167,167,SPXW,put,2019-10-16,2019-10-02,2720.0,7.4,7.8,203,0.5797428803719384,0.78636387776114,0.9151103337896714
168,168,SPXW,put,2019-10-16,2019-10-02,2725.0,7.9,8.2,21,0.6878684667921888,1.0502856699790089,1.0240436923998433
169,169,SPXW,put,2019-10-16,2019-10-02,2730.0,8.4,8.7,8,0.8132756800750514,0.8889750461468126,1.2020160468992909
170,170,SPXW,put,2019-10-16,2019-10-02,2740.0,9.4,9.8,26,1.125008075479215,1.0634957118706485,1.4062093623197078
171,171,SPXW,put,2019-10-16,2019-10-02,2745.0,10.0,10.4,11,1.316358972210196,1.0954624054970117,1.8754095082970408
172,172,SPXW,put,2019-10-16,2019-10-02,2750.0,10.6,11.0,25,1.5350478145513191,1.196907698980495,2.111975897636525
173,173,SPXW,put,2019-10-16,2019-10-02,2755.0,11.3,11.6,29,1.7840839158105268,1.425717097578108,2.268693776183073
174,174,SPXW,put,2019-10-16,2019-10-02,2760.0,11.9,12.3,27,2.0666717835002544,2.6272729935817893,2.646206992614688
175,175,SPXW,put,2019-10-16,2019-10-02,2765.0,12.7,13.0,39,2.3862052772985862,2.4625967147704584,2.810515386231581
176,176,SPXW,put,2019-10-16,2019-10-02,2770.0,13.4,13.8,81,2.746258984843194,3.5362573056003597,3.363739194791723
177,177,SPXW,put,2019-10-16,2019-10-02,2775.0,14.2,14.6,68,3.150576702192581,2.9632889221372736,3.648412251924032
178,178,SPXW,call,2019-10-16,2019-10-02,2780.0,114.6,125.1,1,113.08176242054742,110.80951212283033,113.61183426726078
179,179,SPXW,put,2019-10-16,2019-10-02,2780.0,15.1,15.5,133,3.6030569526420777,2.8861569679289873,4.661115412834202
180,180,SPXW,put,2019-10-16,2019-10-02,2785.0,15.9,16.4,52,4.107735529753143,3.3083922677907545,4.741610457952958
181,181,SPXW,put,2019-10-16,2019-10-02,2790.0,16.9,17.3,57,4.668765106787191,3.418349039175059,4.992029297113253
182,182,SPXW,put,2019-10-16,2019-10-02,2795.0,17.8,18.3,12,5.290392014099211,5.299753387909852,5.806408883044522
183,183,SPXW,put,2019-10-16,2019-10-02,2800.0,18.9,19.4,207,5.97693034701382,4.739505872572469,6.135452330072856
184,184,SPXW,put,2019-10-16,2019-10-02,2805.0,19.9,20.5,7,6.73273362773898,6.2481884863809745,7.464130303268764
185,185,SPXW,put,2019-10-16,2019-10-02,2810.0,21.1,21.6,101,7.562164304396049,6.010723107810982,8.59008007951264
186,186,SPXW,put,2019-10-16,2019-10-02,2815.0,22.2,22.8,125,8.46956142653346,7.3046009336943625,9.561068607644016
187,187,SPXW,put,2019-10-16,2019-10-02,2820.0,23.5,24.1,1431,9.459206887988898,9.099234677316995,10.436230286275656
188,188,SPXW,call,2019-10-16,2019-10-02,2825.0,81.7,87.6,1,75.04424323161811,71.47285694144405,75.34972135738153
189,189,SPXW,put,2019-10-16,2019-10-02,2825.0,24.7,25.4,24,10.53529067303998,8.905832240212689,10.697757270152604
190,190,SPXW,call,2019-10-16,2019-10-02,2830.0,77.9,83.9,20,71.21418892546399,67.14611183374298,71.32786062244975
191,191,SPXW,put,2019-10-16,2019-10-02,2830.0,26.1,26.8,2164,11.701875579032958,8.543215063257463,12.596745530632248
192,192,SPXW,put,2019-10-16,2019-10-02,2835.0,27.0,28.4,22,12.96286191680531,10.18971713615483,13.677898203088272
193,193,SPXW,put,2019-10-16,2019-10-02,2840.0,28.4,29.8,95,14.321952708259571,10.091441484419933,15.574553263335346
194,194,SPXW,call,2019-10-16,2019-10-02,2845.0,68.0,72.4,4,60.30501561754295,57.53546357020987,60.55434530343438
195,195,SPXW,put,2019-10-16,2019-10-02,2845.0,30.0,31.4,45,15.782619907554704,13.13873575084969,16.37000082257999
196,196,SPXW,call,2019-10-16,2019-10-02,2850.0,64.6,68.9,11,56.873828665975,54.88790764592487,58.11959656313864
197,197,SPXW,put,2019-10-16,2019-10-02,2850.0,31.6,32.9,171,17.348072168134195,14.488365820122315,18.179354814398756
198,198,SPXW,put,2019-10-16,2019-10-02,2855.0,33.1,34.6,22,19.021224662089253,15.739229728503243,20.44834223189057
199,199,SPXW,call,2019-10-16,2019-10-02,2860.0,58.0,59.7,14,50.33714950485978,42.60779683708855,49.22930317776813
200,200,SPXW,put,2019-10-16,2019-10-02,2860.0,34.8,36.3,52,20.80467143131341,16.69676443164734,21.482780423901545
201,201,SPXW,call,2019-10-16,2019-10-02,2865.0,54.8,56.4,19,47.23649957342718,44.89513777922099,48.58956918034568
202,202,SPXW,put,2019-10-16,2019-10-02,2865.0,36.5,38.1,44,22.700660712028597,20.327783808062243,23.362771382618604
203,203,SPXW,call,2019-10-16,2019-10-02,2870.0,51.6,53.2,29,44.25027327575685,37.60134547649339,45.26090852724878
204,204,SPXW,put,2019-10-16,2019-10-02,2870.0,38.3,39.9,60,24.711073626505595,20.939607405302826,25.339508614358053
205,205,SPXW,call,2019-10-16,2019-10-02,2875.0,48.5,50.1,16,41.37996701623752,39.39418044743532,42.1313182856446
206,206,SPXW,put,2019-10-16,2019-10-02,2875.0,40.2,41.8,647,26.837406579133585,23.505504228543483,27.90279072324848
207,207,SPXW,call,2019-10-16,2019-10-02,2880.0,45.4,47.0,17,38.62667885486917,33.230123037972966,39.12691354897173
208,208,SPXW,put,2019-10-16,2019-10-02,2880.0,42.1,43.8,1097,29.08075762991257,26.57032261181719,29.94009992857051
209,209,SPXW,call,2019-10-16,2019-10-02,2885.0,42.4,44.0,19,35.99109906129752,30.17858172609681,35.81335677242951
210,210,SPXW,put,2019-10-16,2019-10-02,2885.0,44.1,45.7,443,31.441817048488247,25.164114744707497,33.41830718566872
211,211,SPXW,call,2019-10-16,2019-10-02,2890.0,39.5,41.0,81,33.4735049784299,26.40851695401804,34.38641263772797
